href,get_text
#bodyContent,Saltar para o conteúdo
/wiki/Wikip%C3%A9dia:P%C3%A1gina_principal,Página principal
/wiki/Portal:Conte%C3%BAdo_destacado,Conteúdo destacado
/wiki/Portal:Eventos_atuais,Eventos atuais
/wiki/Wikip%C3%A9dia:Esplanada,Esplanada
/wiki/Especial:Aleat%C3%B3ria,Página aleatória
/wiki/Portal:%C3%8Dndice,Portais
/wiki/Wikip%C3%A9dia:Informe_um_erro,Informar um erro
/wiki/Wikip%C3%A9dia:Boas-vindas,Boas-vindas
/wiki/Ajuda:P%C3%A1gina_principal,Ajuda
/wiki/Ajuda:P%C3%A1gina_de_testes,Página de testes
/wiki/Wikip%C3%A9dia:Portal_comunit%C3%A1rio,Portal comunitário
/wiki/Especial:Mudan%C3%A7as_recentes,Mudanças recentes
/wiki/Wikip%C3%A9dia:Manuten%C3%A7%C3%A3o,Manutenção
/wiki/Ajuda:Guia_de_edi%C3%A7%C3%A3o/Como_come%C3%A7ar_uma_p%C3%A1gina,Criar página
/wiki/Especial:P%C3%A1ginas_novas,Páginas novas
/wiki/Wikip%C3%A9dia:Contato,Contato
//donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=20120521SB001&uselang=pt,Donativos
#p-lang-btn,parte superior da página, em frente ao título do artigo
/wiki/Wikip%C3%A9dia:P%C3%A1gina_principal,






/wiki/Especial:Pesquisar,
Busca

/w/index.php?title=Especial:Criar_conta&returnto=Python,Criar uma conta
/w/index.php?title=Especial:Entrar&returnto=Python,Entrar
/w/index.php?title=Especial:Criar_conta&returnto=Python, Criar uma conta
/w/index.php?title=Especial:Entrar&returnto=Python, Entrar
/wiki/Ajuda:Introduction,saber mais
/wiki/Especial:Minhas_contribui%C3%A7%C3%B5es,Contribuições
/wiki/Especial:Minha_discuss%C3%A3o,Discussão
#,
Início

#História,

1História

#Filosofia,

2Filosofia

#Sintaxe_e_semântica,

3Sintaxe e semântica

#Construções,

3.1Construções

#Tipos_de_dados,

